YEAR ,LocationAbbr ,LocationDesc ,DataSource ,Topic ,Subtopic ,ShortQuestionText ,Greater_Risk_Question ,Description ,Data_Value_Symbol ,Data_Value_Type ,Greater_Risk_Data_Value ,Greater_Risk_Data_Value_Footnote_Symbol ,Greater_Risk_Data_Value_Footnote ,Greater_Risk_Low_Confidence_Limit ,Greater_Risk_High_Confidence_Limit ,Lesser_Risk_Question ,Lesser_Risk_Data_Value ,Lesser_Risk_Data_Value_Footnote_Symbol ,Lesser_Risk_Data_Value_Footnote ,Lesser_Risk_Low_Confidence_Limit ,Lesser_Risk_High_Confidence_Limit ,Sample_Size ,Sex ,Race ,Grade ,SexualIdentity ,SexOfSexualContacts ,GeoLocation ,TopicId ,SubTopicID ,QuestionCode ,LocationId ,StratID1 ,StratID2 ,StratID3 ,StratID4 ,StratID5 ,StratificationType ,StratID6 
2017,TX,Texas,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,7.0356,,,5.5732,8.8458,Did not currently smoke cigars,92.9644,,,91.1542,94.4268,2075,Total,Total,Total,Total,Total,"(31.827240407, -99.426770206)",C02,C13,H38,48,S1,R1,G1,TX,I1,State,P1
2015,MT,Montana,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,1.0703,,,0.7693,1.4872,Did not currently frequently smoke cigars,98.9297,,,98.5128,99.2307,4456,Total,Total,Total,Total,Total,"(47.066528972, -109.424420645)",C02,C13,QNFRCGR,30,S1,R1,G1,MT,I1,State,P1
2017,MT,Montana,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.8468,,,0.5872,1.2198,Did not currently smoke cigars daily,99.1532,,,98.7802,99.4128,4718,Total,Total,Total,Total,Total,"(47.066528972, -109.424420645)",C02,C13,QNDAYCGR,30,S1,R1,G1,MT,I1,State,P1
2015,PH,"Philadelphia, PA",YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.8122,,,0.4681,1.4054,Did not currently smoke cigars daily,99.1878,,,98.5946,99.5319,1646,Total,Total,Total,Total,Total,"(39.952584, -75.165222)",C02,C13,QNDAYCGR,124,S1,R1,G1,PH,I1,Local,P1
2017,NV,Nevada,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,1.0239,,,0.4818,2.1629,Did not currently frequently smoke cigars,98.9761,,,97.8371,99.5182,1654,Total,Total,Total,Total,Total,"(39.49324039, -117.071840564)",C02,C13,QNFRCGR,32,S1,R1,G1,NV,I1,State,P1
2017,IA,Iowa,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.6314,,,0.2441,1.6235,Did not currently smoke cigars daily,99.3686,,,98.3765,99.7559,1675,Total,Total,Total,Total,Total,"(42.469400913, -93.816490556)",C02,C13,QNDAYCGR,19,S1,R1,G1,IA,I1,State,P1
2015,DKC,"DeKalb County, GA",YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,1.0783,,,0.6862,1.6907,Did not currently smoke cigars daily,98.9217,,,98.3093,99.3138,1859,Total,Total,Total,Total,Total,"(33.795644, -84.22788)",C02,C13,QNDAYCGR,111,S1,R1,G1,DKC,I1,Local,P1
2017,ME,Maine,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,7.6626,,,6.9018,8.4995,Did not currently smoke cigars,92.3374,,,91.5005,93.0982,9348,Total,Total,Total,Total,Total,"(45.254228894001, -68.985031336)",C02,C13,H38,23,S1,R1,G1,ME,I1,State,P1
2015,NV,Nevada,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.548,,,0.2823,1.0609,Did not currently smoke cigars daily,99.452,,,98.9391,99.7177,1443,Total,Total,Total,Total,Total,"(39.49324039, -117.071840564)",C02,C13,QNDAYCGR,32,S1,R1,G1,NV,I1,State,P1
2017,MP,Northern Mariana Islands,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,5.6529,,,4.7272,6.7471,Did not currently smoke cigars,94.3471,,,93.2529,95.2728,1906,Total,Total,Total,Total,Total,"(15.0979, 145.6739)",C02,C13,H38,203,S1,R1,G1,MP,I1,Territory,P1
2015,NY,New York,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,10.1976,,,8.5882,12.0687,Did not currently smoke cigars,89.8024,,,87.9313,91.4118,10531,Total,Total,Total,Total,Total,"(42.827001032, -75.543970427)",C02,C13,H38,36,S1,R1,G1,NY,I1,State,P1
2017,ND,North Dakota,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.5451,,,0.253,1.1703,Did not currently smoke cigars daily,99.4549,,,98.8297,99.747,2121,Total,Total,Total,Total,Total,"(47.475319779, -100.118421049)",C02,C13,QNDAYCGR,38,S1,R1,G1,ND,I1,State,P1
2017,WV,West Virginia,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,11.3913,,,8.9951,14.3253,Did not currently smoke cigars,88.6087,,,85.6747,91.0049,1538,Total,Total,Total,Total,Total,"(38.665510202, -80.712640135)",C02,C13,H38,54,S1,R1,G1,WV,I1,State,P1
2017,SC,South Carolina,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,1.6415,,,1.0985,2.4464,Did not currently smoke cigars daily,98.3585,,,97.5536,98.9015,1458,Total,Total,Total,Total,Total,"(33.998821303, -81.045371207)",C02,C13,QNDAYCGR,45,S1,R1,G1,SC,I1,State,P1
2017,VT,Vermont,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,1.3826,,,1.2268,1.5578,Did not currently frequently smoke cigars,98.6174,,,98.4422,98.7732,20421,Total,Total,Total,Total,Total,"(43.625381239, -72.517640791)",C02,C13,QNFRCGR,50,S1,R1,G1,VT,I1,State,P1
2015,DE,Delaware,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,2.7313,,,1.9484,3.8165,Did not currently frequently smoke cigars,97.2687,,,96.1835,98.0516,2680,Total,Total,Total,Total,Total,"(39.008830667, -75.577741168)",C02,C13,QNFRCGR,10,S1,R1,G1,DE,I1,State,P1
2017,WI,Wisconsin,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,0.4969,,,0.2924,0.843,Did not currently frequently smoke cigars,99.5031,,,99.157,99.7076,2024,Total,Total,Total,Total,Total,"(44.393191174, -89.816370742)",C02,C13,QNFRCGR,55,S1,R1,G1,WI,I1,State,P1
2015,AL,Alabama,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,1.5139,,,1.0476,2.1833,Did not currently frequently smoke cigars,98.4861,,,97.8167,98.9524,1547,Total,Total,Total,Total,Total,"(32.840571122, -86.631860762)",C02,C13,QNFRCGR,01,S1,R1,G1,AL,I1,State,P1
2017,PB,"Palm Beach County, FL",YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,0.7556,,,0.4386,1.2987,Did not currently frequently smoke cigars,99.2444,,,98.7013,99.5614,2292,Total,Total,Total,Total,Total,"(26.65145, -80.276733)",C02,C13,QNFRCGR,110,S1,R1,G1,PB,I1,Local,P1
2017,MP,Northern Mariana Islands,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,0.845,,,0.5372,1.3268,Did not currently frequently smoke cigars,99.155,,,98.6732,99.4628,1906,Total,Total,Total,Total,Total,"(15.0979, 145.6739)",C02,C13,QNFRCGR,203,S1,R1,G1,MP,I1,Territory,P1
2017,AZB,Arizona,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,0.368,,,0.1687,0.8005,Did not currently frequently smoke cigars,99.632,,,99.1995,99.8313,2089,Total,Total,Total,Total,Total,"(34.86597028, -111.763811277)",C02,C13,QNFRCGR,04,S1,R1,G1,AZB,I1,State,P1
2015,MT,Montana,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.8373,,,0.5782,1.211,Did not currently smoke cigars daily,99.1627,,,98.789,99.4218,4456,Total,Total,Total,Total,Total,"(47.066528972, -109.424420645)",C02,C13,QNDAYCGR,30,S1,R1,G1,MT,I1,State,P1
2015,VA,Virginia,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,1.568,,,1.1532,2.1287,Did not currently frequently smoke cigars,98.432,,,97.8713,98.8468,5131,Total,Total,Total,Total,Total,"(37.542680674, -78.457890463)",C02,C13,QNFRCGR,51,S1,R1,G1,VA,I1,State,P1
2017,OL,"Orange County, FL",YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,6.2894,,,4.6894,8.3872,Did not currently smoke cigars,93.7106,,,91.6128,95.3106,1349,Total,Total,Total,Total,Total,"(28.4845, -81.251883)",C02,C13,H38,109,S1,R1,G1,OL,I1,Local,P1
2017,NM,New Mexico,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,1.6584,,,1.1754,2.3353,Did not currently frequently smoke cigars,98.3416,,,97.6647,98.8246,5734,Total,Total,Total,Total,Total,"(34.520880952, -106.240580985)",C02,C13,QNFRCGR,35,S1,R1,G1,NM,I1,State,P1
2017,DE,Delaware,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,1.7193,,,1.1405,2.5843,Did not currently frequently smoke cigars,98.2807,,,97.4157,98.8595,2832,Total,Total,Total,Total,Total,"(39.008830667, -75.577741168)",C02,C13,QNFRCGR,10,S1,R1,G1,DE,I1,State,P1
2015,NYH,"Borough of Brooklyn, NY",YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,0.3924,,,0.0896,1.7013,Did not currently frequently smoke cigars,99.6076,,,98.2987,99.9104,2204,Total,Total,Total,Total,Total,"(40.678178, -73.944158)",C02,C13,QNFRCGR,117,S1,R1,G1,NYH,I1,Local,P1
2015,RI,Rhode Island,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,8.4287,,,7.2715,9.7507,Did not currently smoke cigars,91.5713,,,90.2493,92.7285,3440,Total,Total,Total,Total,Total,"(41.708280193, -71.522470314)",C02,C13,H38,44,S1,R1,G1,RI,I1,State,P1
2017,NYG,"Borough of Bronx, NY",YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,5.9017,,,4.9968,6.9585,Did not currently smoke cigars,94.0983,,,93.0415,95.0032,1975,Total,Total,Total,Total,Total,"(40.844782, -73.864827)",C02,C13,H38,116,S1,R1,G1,NYG,I1,Local,P1
2015,ID,Idaho,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,8.2455,,,6.6439,10.1911,Did not currently smoke cigars,91.7545,,,89.8089,93.3561,1750,Total,Total,Total,Total,Total,"(43.682630005, -114.363730042)",C02,C13,H38,16,S1,R1,G1,ID,I1,State,P1
2015,CA,California,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,1.0644,,,0.4826,2.3311,Did not currently frequently smoke cigars,98.9356,,,97.6689,99.5174,1731,Total,Total,Total,Total,Total,"(37.638640123, -120.999999538)",C02,C13,QNFRCGR,06,S1,R1,G1,CA,I1,State,P1
2015,SC,South Carolina,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,11.1892,,,8.652,14.3535,Did not currently smoke cigars,88.8108,,,85.6465,91.348,1344,Total,Total,Total,Total,Total,"(33.998821303, -81.045371207)",C02,C13,H38,45,S1,R1,G1,SC,I1,State,P1
2017,FT,"Broward County, FL",YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.315,,,0.055,1.782,Did not currently smoke cigars daily,99.685,,,98.218,99.945,919,Total,Total,Total,Total,Total,"(26.190096, -80.365865)",C02,C13,QNDAYCGR,106,S1,R1,G1,FT,I1,Local,P1
2017,PA,Pennsylvania,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.5666,,,0.3288,0.9749,Did not currently smoke cigars daily,99.4334,,,99.0251,99.6712,3683,Total,Total,Total,Total,Total,"(40.793730152, -77.860700294)",C02,C13,QNDAYCGR,42,S1,R1,G1,PA,I1,State,P1
2015,NH,New Hampshire,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,1.2366,,,0.9896,1.5444,Did not currently smoke cigars daily,98.7634,,,98.4556,99.0104,14787,Total,Total,Total,Total,Total,"(43.655950113, -71.50036092)",C02,C13,QNDAYCGR,33,S1,R1,G1,NH,I1,State,P1
2017,AK,Alaska,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,6.6128,,,4.8337,8.9849,Did not currently smoke cigars,93.3872,,,91.0151,95.1663,1308,Total,Total,Total,Total,Total,"(64.845079957001, -147.722059036)",C02,C13,H38,02,S1,R1,G1,AK,I1,State,P1
2017,AR,Arkansas,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,2.8738,,,1.5894,5.1417,Did not currently frequently smoke cigars,97.1262,,,94.8583,98.4106,1584,Total,Total,Total,Total,Total,"(34.748650124, -92.274490743)",C02,C13,QNFRCGR,05,S1,R1,G1,AR,I1,State,P1
2015,DCB,District of Columbia,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,1.3906,,,1.1662,1.6574,Did not currently smoke cigars daily,98.6094,,,98.3426,98.8338,9968,Total,Total,Total,Total,Total,"(38.890371385, -77.031961127)",C02,C13,QNDAYCGR,11,S1,R1,G1,DCB,I1,Local,P1
2017,NV,Nevada,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.4757,,,0.1661,1.3546,Did not currently smoke cigars daily,99.5243,,,98.6454,99.8339,1654,Total,Total,Total,Total,Total,"(39.49324039, -117.071840564)",C02,C13,QNDAYCGR,32,S1,R1,G1,NV,I1,State,P1
2017,AK,Alaska,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.5908,,,0.2454,1.4152,Did not currently smoke cigars daily,99.4092,,,98.5848,99.7546,1308,Total,Total,Total,Total,Total,"(64.845079957001, -147.722059036)",C02,C13,QNDAYCGR,02,S1,R1,G1,AK,I1,State,P1
2017,NE,Nebraska,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,0.7557,,,0.3188,1.7804,Did not currently frequently smoke cigars,99.2443,,,98.2196,99.6812,1405,Total,Total,Total,Total,Total,"(41.641040988001, -99.365720623)",C02,C13,QNFRCGR,31,S1,R1,G1,NE,I1,State,P1
2017,AZB,Arizona,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.2655,,,0.1084,0.6482,Did not currently smoke cigars daily,99.7345,,,99.3518,99.8916,2089,Total,Total,Total,Total,Total,"(34.86597028, -111.763811277)",C02,C13,QNDAYCGR,04,S1,R1,G1,AZB,I1,State,P1
2015,TN,Tennessee,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,1.4371,,,0.97,2.1242,Did not currently smoke cigars daily,98.5629,,,97.8758,99.03,4113,Total,Total,Total,Total,Total,"(35.68094058, -85.774490914)",C02,C13,QNDAYCGR,47,S1,R1,G1,TN,I1,State,P1
2015,MI,Michigan,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.7926,,,0.4673,1.3412,Did not currently smoke cigars daily,99.2074,,,98.6588,99.5327,4783,Total,Total,Total,Total,Total,"(44.661319543001, -84.71439027)",C02,C13,QNDAYCGR,26,S1,R1,G1,MI,I1,State,P1
2017,DKC,"DeKalb County, GA",YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,1.0563,,,0.6165,1.804,Did not currently smoke cigars daily,98.9437,,,98.196,99.3835,1854,Total,Total,Total,Total,Total,"(33.795644, -84.22788)",C02,C13,QNDAYCGR,111,S1,R1,G1,DKC,I1,Local,P1
2017,OL,"Orange County, FL",YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,1.5855,,,0.9144,2.7358,Did not currently frequently smoke cigars,98.4145,,,97.2642,99.0856,1349,Total,Total,Total,Total,Total,"(28.4845, -81.251883)",C02,C13,QNFRCGR,109,S1,R1,G1,OL,I1,Local,P1
2017,MI,Michigan,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.9826,,,0.4869,1.9727,Did not currently smoke cigars daily,99.0174,,,98.0273,99.5131,1604,Total,Total,Total,Total,Total,"(44.661319543001, -84.71439027)",C02,C13,QNDAYCGR,26,S1,R1,G1,MI,I1,State,P1
